대륙,국가,성별,총합계,0세-4세,5세-9세,10세-14세,15세-19세,20세-24세,25세-29세,30세-34세,35세-39세,40세-44세,45세-49세,50세-54세,55세-59세,60세-64세,65세-69세,70세-74세,75세-79세,80세이상
남아메리카주,아르헨티나,여성,3093,21,27,35,104,267,389,512,397,284,218,179,144,160,158,125,51,22
남아메리카주,페루,남성,2105,12,18,25,51,137,207,334,320,219,234,188,148,83,57,38,16,18
남아메리카주,페루,여성,2969,13,21,34,142,367,498,550,381,189,187,174,158,113,72,30,30,10
남아메리카주,에콰도르,남성,1280,16,12,23,36,71,176,237,215,144,93,77,50,49,36,29,14,2
남아메리카주,에콰도르,여성,1487,9,12,35,58,159,256,282,173,102,77,68,72,69,68,26,14,7
남아메리카주,코스타리카,남성,904,5,4,5,16,50,110,143,139,110,77,59,54,60,42,22,4,4
남아메리카주,코스타리카,여성,1137,4,5,13,25,93,185,201,142,106,73,68,63,69,48,22,13,7
남아메리카주,도미니카공화국,남성,888,6,12,4,14,56,152,156,123,90,69,68,61,36,23,10,4,4
남아메리카주,도미니카공화국,여성,695,6,5,7,17,67,112,94,81,68,55,43,58,32,26,16,6,2
남아메리카주,베네수엘라,남성,698,3,6,6,21,35,97,126,133,77,68,44,23,26,14,11,6,2
남아메리카주,베네수엘라,여성,858,5,6,8,16,111,171,179,110,58,55,49,29,24,19,11,5,2
남아메리카주,과테말라,남성,755,1,9,17,31,43,79,130,90,71,87,55,48,42,29,12,8,3
남아메리카주,과테말라,여성,739,2,7,12,34,64,103,138,73,52,56,51,59,34,25,23,5,1
남아메리카주,파나마,남성,595,6,5,11,24,46,84,85,83,64,42,42,28,32,22,14,5,2
남아메리카주,파나마,여성,666,0,8,8,35,94,118,93,51,39,35,42,48,35,30,15,7,8
남아메리카주,우루과이,남성,387,2,6,1,0,17,83,63,37,33,39,20,14,28,24,14,2,4
남아메리카주,우루과이,여성,471,1,7,6,7,29,153,76,40,34,12,17,20,21,24,14,7,3
