이름,세부카테고리,주소,위도,경도,전화번호,링크
한울갈비,"한식>육류,고기요리",서울특별시 동작구 동작대로1길 9 2호선 8번 출구로 나오신 후 좌측 골목 20m 전방 좌측에 위치. 4호선 9번 출구로 나오신 후 앞 우측 골목,37.4772321,126.9807888,,
명성왕족발,"한식>족발,보쌈","서울특별시 동작구 동작대로29길 3 1, 2층",37.4880471,126.9818122,,
송이족발 본점,"한식>족발,보쌈",서울특별시 동작구 사당로17길 11 1층,37.4837890,126.9740190,,
놀부한방족발,"한식>족발,보쌈",서울특별시 동작구 동작대로29나길 10,37.4885493,126.9806757,,
가마솥손두부 사당본점,한식>두부요리,서울특별시 동작구 남부순환로271길 20,37.4777431,126.9801335,,
고향 엄마손 생바지락 칼국수 신대방삼거리점,"한식>칼국수,만두",서울특별시 동작구 여의대방로22길 121 상가동 1층 1405호,37.4983873,126.9270622,,https://www.instagram.com/ummason_official/
육대장 푸줏간 이수역점,"한식>찌개,전골",서울특별시 동작구 동작대로31길 17 1층,37.4887818,126.9814027,,https://www.instagram.com/ydjisu
오드리곱창,"한식>곱창,막창,양",서울특별시 동작구 동작대로7길 65 1층,37.4779312,126.9791895,,
정남옥 노량진점,"한식>순대,순댓국",서울특별시 동작구 노량진로 148-5 1층,37.5132839,126.9424045,,
백호양대창,"한식>곱창,막창,양",서울특별시 동작구 동작대로25길 30 1층 백호양대창,37.4858369,126.9806264,,https://www.instagram.com/baekho_isu
어촌식당,"한식>해물,생선요리",서울특별시 동작구 상도로 122,37.5013800,126.9338059,,
노란돼지,"한식>육류,고기요리",서울특별시 동작구 동작대로7길 97 1층,37.4771451,126.9778246,,https://www.instagram.com/noran_pig
등나무집,"한식>곰탕,설렁탕",서울특별시 동작구 대림로 52,37.4881735,126.9078372,,
서울정육식당,"한식>육류,고기요리","서울특별시 동작구 사당로30길 154 1층, 2층",37.4779872,126.9805872,,
진주식당,한식>생선회,서울특별시 동작구 노들로 674 노량진수산물도매시장 5층 진주식당,37.5151981,126.9392848,,https://catchtable.co.kr/jinju
즉석 바지락손칼국수,"한식>칼국수,만두",서울특별시 동작구 상도로 77 바지락손칼국수,37.4998746,126.9291729,,
사당광안리 사당본점,한식>생선회,서울특별시 동작구 동작대로7길 5 사당광안리 1층,37.4799528,126.9813595,,https://www.instagram.com/sadang__gwangalli?igsh=MXdqemJta2VvZGZjbg==
운봉산장,"한식>육류,고기요리",서울특별시 동작구 장승배기로 118-1 신응범치과의원,37.5080790,126.9402580,,
갈매울 감자탕,한식>감자탕,서울특별시 동작구 양녕로 282-1 1층,37.5044321,126.9504086,,
국밥장인 이수점,한식>국밥,서울특별시 동작구 사당로 286 1층,37.4842230,126.9794916,,
큰솥설렁탕,"한식>곰탕,설렁탕",서울특별시 동작구 흑석로 102 중앙대학교병원,37.5070511,126.9608154,,
한촌설렁탕 보라매점,"한식>곰탕,설렁탕",서울특별시 동작구 보라매로5길 35 보라매현대아파트 1층 상가,37.4919477,126.9237125,,https://baemin.me/NHgigtnSQ
부대통령뚝배기 노량진점,"한식>찌개,전골",서울특별시 동작구 만양로 100 부대통령뚝배기 노량진점,37.5124589,126.9443834,,
각시보쌈,"한식>족발,보쌈",서울특별시 마포구 성지길 25 보광빌딩,37.5475100,126.9133940,,
연남족발1987 연남점,"한식>족발,보쌈",서울특별시 마포구 동교로 222 1층,37.5597891,126.9239621,,
옥동식,한식>국밥,서울특별시 마포구 양화로7길 44-10,37.5526833,126.9144811,,http://instagram.com/okdongsik
마포양지설렁탕,"한식>곰탕,설렁탕",서울특별시 마포구 새창로 6,37.5420571,126.9504338,,
육미안 연남점,한식>소고기구이,서울특별시 마포구 동교로38길 5 2층,37.5618595,126.9246428,,https://app.catchtable.co.kr/ct/shop/yookmian_yeonnam
상암일미락,한식>돼지고기구이,서울특별시 마포구 성암로13길 40 상암일미락,37.5763725,126.8972550,,https://www.instagram.com/ilmirack_dining
일등식당,한식>해장국,서울특별시 마포구 방울내로 82,37.5606012,126.9043521,,
마포진짜원조최대포 본점,"한식>육류,고기요리",서울특별시 마포구 만리재로1길 1-2 1층,37.5446329,126.9518260,,https://www.instagram.com/choidaepo_official
해정집,한식>국밥,서울특별시 마포구 양화로6길 45 1층 101호,37.5489290,126.9167238,,https://litt.ly/haejeongjip_?utm_source=naver&utm_medium=place&utm_campaign=기본세팅
인생감자탕 합정점,한식>감자탕,서울특별시 마포구 양화로1길 18 1층,37.5495372,126.9106323,,https://insaenggamjatang.com
원당감자탕 마포점,한식>감자탕,서울특별시 마포구 도화길 35 1층,37.5411699,126.9496048,,
서경도락 마포역점,한식>돼지고기구이,서울특별시 마포구 삼개로 21 근신제2별관,37.5383741,126.9475883,,https://blog.naver.com/seokyungdorak
마포옥,"한식>곰탕,설렁탕",서울특별시 마포구 토정로 312 1층 마포옥,37.5398916,126.9433125,,
합정옥,"한식>곰탕,설렁탕",서울특별시 마포구 양화로1길 21 2층,37.5495526,126.9104685,,
원조신촌설렁탕,"한식>곰탕,설렁탕",서울특별시 마포구 마포대로14길 16,37.5483083,126.9562750,,
콩불 홍대점,"한식>육류,고기요리",서울특별시 마포구 어울마당로 118 1층,37.5550890,126.9234029,,http://www.kongbul.com/
일편등심 홍대본점,"한식>육류,고기요리","서울특별시 마포구 홍익로6길 52 2, 3층 일편등심",37.5563081,126.9243939,,https://www.instagram.com/ilpyeon__offical
마포곱창타운 연남점,"한식>곱창,막창,양",서울특별시 마포구 동교로27길 20,37.5590716,126.9225339,,
공복식당 신촌점,한식>돼지고기구이,서울특별시 서대문구 연세로12길 23 1층,37.5590636,126.9383219,,https://blog.naver.com/gongbok_sinchon?tab=1
명성족발,"한식>족발,보쌈",서울특별시 서대문구 통일로 460,37.5896281,126.9435119,,
본가서대문족발 본점,"한식>족발,보쌈",서울특별시 서대문구 충정로6안길 54,37.5644552,126.9668935,,
영양왕족발,"한식>족발,보쌈",서울특별시 서대문구 가재울로 39 영양왕족발,37.5747969,126.9216122,,
종로보쌈,"한식>족발,보쌈",서울특별시 서대문구 충정로 73,37.5653260,126.9659572,,
서대문영양족발 본점,"한식>족발,보쌈",서울특별시 서대문구 통일로 377 1층,37.5837552,126.9491514,,
명물화로 신촌본점,"한식>육류,고기요리",서울특별시 서대문구 명물길 71 1층,37.5592707,126.9400770,,https://app.catchtable.co.kr/ct/shop/MyungmulHwaro
한촌설렁탕 북가좌점,"한식>곰탕,설렁탕",서울특별시 서대문구 응암로 67,37.5792090,126.9105950,,http://blog.naver.com/woddlrk
형제갈비,"한식>육류,고기요리",서울특별시 서대문구 명물1길 2,37.5578619,126.9373430,,
도깨비칼국수,"한식>칼국수,만두",서울특별시 서대문구 영천시장길 40 도깨비칼국수,37.5703707,126.9614284,,
유닭스토리 닭한마리 신촌점,한식>닭요리,서울특별시 서대문구 연세로4길 7 1층,37.5570470,126.9374476,,https://blog.naver.com/hotjazz22
평안도식당 신촌점,"한식>순대,순댓국",서울특별시 서대문구 연세로4길 12 1층,37.5570469,126.9377470,,https://www.instagram.com/leejin3020
나주향 나주곰탕 남가좌점,"한식>곰탕,설렁탕",서울특별시 서대문구 증가로 101 1층 나주향 나주곰탕,37.5761100,126.9255854,,https://www.instagram.com/njh_gomtang/
압구정화로구이 가좌역점,"한식>육류,고기요리",서울특별시 서대문구 수색로6길 8 1층 104호,37.5707373,126.9135498,,
슭돈 이대역본점,"한식>육류,고기요리",서울특별시 서대문구 신촌로 169 1층 슭돈 이대역본점,37.5569572,126.9448787,,https://www.instagram.com/ssgdon_official
돈불1971,한식>돼지고기구이,서울특별시 서대문구 연세로5다길 36 돈불1971,37.5569543,126.9336212,,https://blog.naver.com/yunicrom
화우 서대문역본점,한식>소고기구이,서울특별시 서대문구 통일로9안길 32,37.5659994,126.9654411,,https://app.catchtable.co.kr/ct/shop/hwauseodaemun
임병주산동칼국수,"한식>칼국수,만두",서울특별시 서초구 강남대로37길 65,37.4845716,127.0300034,,
"수향가족발,보쌈&amp;얼큰감자탕,불뼈찜","한식>족발,보쌈","서울특별시 서초구 남부순환로 2121-3 1, 2층",37.4767729,126.9846553,,
영동족발 양재3호점,"한식>족발,보쌈",서울특별시 서초구 남부순환로 2628-18 1층 영동족발 양재3호점,37.4842477,127.0383520,,https://www.instagram.com/youngdongjokbal
족슐랭 양재시민의숲역점,"한식>족발,보쌈",서울특별시 서초구 강남대로10길 13 1층 족슐랭,37.4682939,127.0408891,,http://족슐랭.com/
담,한식>한정식,서울특별시 서초구 남부순환로 2406 예술의전당 서예박물관 1층,37.4784026,127.0121404,,
노랑저고리 한정식,한식>한정식,서울특별시 서초구 서초대로73길 9 타임빌딩 5층,37.4983080,127.0252161,,
순대실록 센트럴시티점,"한식>순대,순댓국",서울특별시 서초구 신반포로 176 센트럴시티 중층 M9호,37.5042899,127.0048013,,https://www.instagram.com/sundaesilrok/
더막창스 강남본점,"한식>곱창,막창,양",서울특별시 서초구 서초대로77길 37 서초동월드 106호,37.5009217,127.0250411,,https://www.instagram.com/themakchang_gangnam
세광양대창 교대본점,"한식>곱창,막창,양","서울특별시 서초구 반포대로28길 79 1, 2층",37.4919807,127.0126238,,http://sgfco.kr
영동설렁탕,"한식>곰탕,설렁탕",서울특별시 서초구 강남대로101안길 24,37.5161676,127.0173691,,
보글이 생태탕왕코다리 양재역점,"한식>해물,생선요리",서울특별시 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층,37.4854129,127.0305018,,https://catchtable.co.kr/caplia
서관면옥 교대본점,한식>냉면,서울특별시 서초구 서초대로56길 11,37.4939936,127.0172832,,https://blog.naver.com/seogwan_master
백년옥,한식>두부요리,서울특별시 서초구 남부순환로 2407,37.4811951,127.0137749,,
원당감자탕 사당점,한식>감자탕,"서울특별시 서초구 방배천로4길 9 2층, 3층",37.4781598,126.9833253,,
강남교자 본점,"한식>칼국수,만두",서울특별시 서초구 강남대로69길 11 삼미빌딩,37.5014856,127.0243176,,http://gyoja.gangnamlohas.com
이남장 서초점,"한식>곰탕,설렁탕",서울특별시 서초구 서초대로49길 4,37.4938442,127.0123448,,
부대찌개대사관 교대점,"한식>찌개,전골",서울특별시 서초구 반포대로28길 94 1층 103호 부대찌개대사관,37.4918816,127.0132565,,https://www.instagram.com/_embassyofficial/
제일곱창 본점,"한식>곱창,막창,양",서울특별시 성동구 고산자로 281 1층 제일곱창,37.5648702,127.0361642,,https://m.smartstore.naver.com/jeilgopchang
성수AGU,"한식>아귀찜,해물찜",서울특별시 성동구 상원길 48-1 성수AGU,37.5482393,127.0485757,,https://app.catchtable.co.kr/ct/shop/seongsu_AGU
성수일미락,한식>돼지고기구이,서울특별시 성동구 상원6나길 22-20 1층 성수일미락,37.5476474,127.0495907,,https://www.instagram.com/ilmirak_dining?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==
성수족발,"한식>족발,보쌈",서울특별시 성동구 아차산로7길 7 동진빌딩 1층 성수족발,37.5460720,127.0543700,,https://blog.naver.com/ssjb1983
박만배아리랑보쌈 왕십리점,"한식>족발,보쌈",서울특별시 성동구 무학봉28길 8 1층,37.5620515,127.0329142,,
권식족발 성수본점,"한식>족발,보쌈",서울특별시 성동구 아차산로7길 4 1층,37.5455394,127.0543292,,https://blog.naver.com/20002345
위풍당 성수점,"한식>족발,보쌈",서울특별시 성동구 성수일로8길 53 성수동복합시설,37.5452263,127.0563285,,https://blog.naver.com/silverywater
훼미리손칼국수보쌈,"한식>칼국수,만두",서울특별시 성동구 왕십리로 134,37.5495816,127.0446932,,
왕십리맛나곱창,"한식>곱창,막창,양",서울특별시 성동구 고산자로 281-1,37.5649665,127.0361594,,
말방국밥 성수본점,한식>국밥,서울특별시 성동구 광나루로8길 9 1층 말방국밥 성수본점,37.5477617,127.0637421,,https://www.instagram.com/malbang.gukbap?igsh=M2Vic3FleWczMjJz
비사벌 전주 콩나물 국밥,한식>국밥,서울특별시 성동구 왕십리로6길 1-2,37.5463535,127.0450375,,
대성갈비,"한식>육류,고기요리",서울특별시 성동구 상원1길 26 서울숲 A타워 101호~103호,37.5464113,127.0482346,,
소문난성수감자탕 별관,한식>감자탕,서울특별시 성동구 연무장7길 4 해피드림,37.5430097,127.0545593,,
돈골약방 성수점,"한식>곰탕,설렁탕",서울특별시 성동구 성수일로8길 28 1층,37.5458864,127.0536298,,https://www.돈골약방.com
마장동한우촌,"한식>육류,고기요리",서울특별시 성동구 마장로35길 68 마축일축산물시장,37.5708190,127.0413490,,
한촌설렁탕 성수뚝도점,"한식>곰탕,설렁탕",서울특별시 성동구 뚝섬로 389 성수동빌딩,37.5392413,127.0539686,,https://baemin.me/MC5Raim8J
마시쏘부대찌개 성수직영점,"한식>찌개,전골",서울특별시 성동구 연무장5가길 25 1층 116호,37.5434363,127.0554883,,https://www.instagram.com/macizo_budae
김통,한식>돼지고기구이,서울특별시 성북구 동소문로 124,37.5938284,127.0186016,,http://kim-tong.com
석계창신동매운족발 1호점,"한식>족발,보쌈",서울특별시 성북구 한천로78길 57 1층 본점 1호점,37.6129708,127.0647322,,
오백집모자족발,"한식>족발,보쌈",서울특별시 성북구 동소문로20길 20,37.5916835,127.0165655,,
손정보쌈 성신여대점,"한식>족발,보쌈",서울특별시 성북구 보문로30길 36 1층,37.5890708,127.0194068,,
잘빠진메밀 성신여대직영점,한식>막국수,서울특별시 성북구 보문로30길 13 1층,37.5885313,127.0184444,,https://www.instagram.com/jalppajin_sungshin
서도바지락칼국수,"한식>칼국수,만두",서울특별시 성북구 동소문로20길 28-8,37.5913649,127.0163250,,
성북동 명문막국수,한식>막국수,서울특별시 성북구 창경궁로 319,37.5883363,127.0048117,,
종로곱창,"한식>곱창,막창,양",서울특별시 성북구 동소문로6길 8,37.5888536,127.0081216,,
고석환손만두전골,"한식>칼국수,만두",서울특별시 성북구 성북로2길 55 우리빌딩 1층,37.5901111,127.0085954,,https://blog.naver.com/gsh6082
계모임 성신여대본점,한식>닭갈비,"서울특별시 성북구 보문로30라길 5-10 1층, 2층",37.5895734,127.0192223,,
동우설렁탕 본점,"한식>곰탕,설렁탕",서울특별시 성북구 개운사길 45,37.5883539,127.0291340,,
정지춘 설렁탕,"한식>곰탕,설렁탕",서울특별시 성북구 화랑로40길 46 1층 정지춘설렁탕,37.6134237,127.0640375,,
