이름,세부카테고리,주소,위도,경도,전화번호,링크
오공김밥 마들점,음식점>분식,서울특별시 노원구 동일로 1538 1층 103호,37.6662577,127.0577024,,https://www.50gimbab.co.kr
수유리우동집 상계점,"음식점>일식>우동,소바",서울특별시 노원구 덕릉로83길 18 1층 수유리우동집,37.6601098,127.0744096,,https://blog.naver.com/jungssidago?categoryNo=7
우리할매떡볶이 공릉점,음식점>분식,서울특별시 노원구 동일로180길 59 1층 02호,37.6229032,127.0775499,,https://www.instagram.com/wehalmae_gongneung/
투파인드피터 노원점,음식점>양식>이탈리아음식,서울특별시 노원구 상계로1길 34 1층,37.6575116,127.0617088,,https://www.instagram.com/tofindpeter_nowon
카페 기차가 있는 풍경,"음식점>카페,디저트",서울특별시 노원구 화랑로 608,37.6239171,127.0928667,,http://instagram.com/nowontraincafe
브런힐,음식점>브런치,서울특별시 노원구 중계로8길 48 1층,37.6462832,127.0847181,,https://blog.naver.com/brolo
동적깡통구이 쌍문본점,"음식점>한식>육류,고기요리",서울특별시 도봉구 도봉로109길 30,37.6470205,127.0317011,,https://www.instagram.com/dongjeok_main
후타츠 쌍문본점,음식점>일식>일본식라면,서울특별시 도봉구 도봉로110길 9 1층,37.6463848,127.0341111,,https://www.instagram.com/hutatsu_ssangmun
섭생정식 창동본점,음식점>한식,서울특별시 도봉구 노해로 341 1층 101호,37.6513433,127.0456363,,https://booking.naver.com/booking/6/bizes/879905
무수옥 도봉본점,음식점>한식,서울특별시 도봉구 도봉로165길 15 무수옥,37.6771561,127.0441842,,https://litt.ly/musuok6292
스마일닭강정,"음식점>치킨,닭강정",서울특별시 도봉구 노해로 269 1층,37.6516778,127.0380132,,https://www.instagram.com/smilechicken_/
은행골,"음식점>일식>초밥,롤",서울특별시 도봉구 마들로 684,37.6709759,127.0466249,,https://blog.naver.com/namjuhwa
쉐프마인드,음식점>일식>일식당,서울특별시 도봉구 노해로 384 동아아파트 상가 1층 30호 쉐프마인드,37.6520848,127.0509980,,https://youtube.com/@my_own_chef
김밥나라 도봉점,음식점>분식,서울특별시 도봉구 도봉로181길 6,37.6839370,127.0456330,,
우리할매떡볶이 방학점,음식점>분식,서울특별시 도봉구 도봉로152길 32 1층 102호,37.6693489,127.0456032,,http://wehalmae.co.kr/
블루밍,음식점>양식,서울특별시 도봉구 도봉로110다길 38 204동102호,37.6448369,127.0333242,,http://www.instagram.com/kim_.ming
콩디망,음식점>양식,서울특별시 도봉구 해등로16길 52-36 기봉빌딩 1층 102호,37.6547401,127.0435862,,https://www.instagram.com/condiment.bnc
기살림 창동점 토브,"음식점>카페,디저트",서울특별시 도봉구 해등로 41,37.6477896,127.0436799,,
