가맹점명,사용가능 지역화폐,시도명,시군구명,소재지도로명주소,데이터기준일자
(주)코리아세븐  신정제일점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 중앙로46길 6 (신정동) (롯데택배) 세븐일레븐 신정제일점,2024-08-20
(주)코리아세븐  신정제일점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 중앙로 46길6(신정동) (주)코리아세븐 신정제일점,2024-08-20
(주)코리아세븐 목동광장점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 65 (신정동) (롯데택배) 세븐일레븐 목동광장점,2024-08-20
(주)코리아세븐 목동광장점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동동로 65(센타프라자106호) (주)코리아세븐 목동광장점,2024-08-20
(주)코리아세븐 목동금호점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙서로 47 (목동, 성보주상복합아파트) (롯데택배) 세븐일레븐 목동금호점",2024-08-20
(주)코리아세븐 목동금호점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 목동중앙서로 47(성보주상 1층 101호) 101호,2024-08-20
(주)코리아세븐 목동리즌빌점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙본로7길 45목동, 목동보미리즌빌109호 (주)코리아세븐 목동리즌빌점",2024-08-20
(주)코리아세븐 목동리즌빌점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구 목동중앙본로7길 45 (목동, 목동보미리즌빌) (롯데택배) 세븐일레븐 목동리즌빌점",2024-08-20
(주)코리아세븐 목동빙상장점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,"서울특별시 양천구  안양천로 939, 목동빙상장 1층(목동)",2024-08-20
(주)코리아세븐 목동빙상장점,서울사랑상품권+양천사랑상품권+고향사랑상품권(양천구),서울특별시,양천구,서울특별시 양천구 안양천로 939 (목동) (롯데택배) 세븐일레븐 목동빙상장점,2024-08-20
